occurred_on_date,case_count,D_A1,D_A15,D_A7,D_B2,D_B3,D_C11,D_C6,D_D14,D_D4,D_E13,D_E18,D_E5,D_External,day_1,day_2,day_3,day_4,day_5,day_6,day_7
735764,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
735764,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
735764,40,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
735764,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
735764,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
735764,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
735765,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
735765,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
735765,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
735765,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
735765,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
735765,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
735766,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
735766,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
735766,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
735766,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
735766,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
735766,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
735767,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
735767,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
735767,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
735767,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
735767,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
735767,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
735768,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
735768,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
735768,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
